Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2016-12-23;21,6601;21,6601;21,6002;21,6228;2.626;56.788
2016-12-22;21,6336;21,6434;21,5756;21,6434;784;16.948
2016-12-21;21,7623;21,8065;21,6935;21,6935;926;20.145
2016-12-20;21,7976;21,8772;21,7515;21,8202;2.849;62.116
2016-12-19;21,6513;21,7023;21,5913;21,7023;2.953;63.913
2016-12-16;21,7014;21,7456;21,5835;21,6129;2.222;48.086
2016-12-15;21,3074;21,7318;21,3074;21,6974;2.778;60.065
2016-12-14;21,3536;21,3536;21,3035;21,3232;1.566;33.405
2016-12-13;21,2482;21,367;21,2423;21,367;532;11.358
2016-12-12;21,3154;21,3154;21,2229;21,2774;953;20.276
2016-12-09;21,1002;21,2589;21,1002;21,2414;1.256;26.608
2016-12-08;20,7584;21,0544;20,7584;21,0544;3.406;71.597
2016-12-07;20,5724;20,6415;20,5217;20,6415;1.538;31.665
2016-12-06;20,4808;20,5957;20,3932;20,5879;563;11.511
2016-12-05;20,5052;20,6775;20,4458;20,474;2.415;49.603
2016-12-02;20,4594;20,5665;20,4497;20,5198;1.450;29.748
2016-12-01;20,625;20,6464;20,4721;20,4721;1.006;20.671
2016-11-30;20,7097;20,7924;20,7097;20,7924;1.654;34.334
2016-11-29;20,6882;20,8119;20,6882;20,7438;1.464;30.424
2016-11-28;20,7457;20,8061;20,6103;20,7827;3.044;63.148
2016-11-25;20,9064;20,9064;20,7194;20,7194;5.203;108.024
2016-11-24;20,8061;20,808;20,7895;20,807;2.413;50.213
2016-11-23;20,6678;20,8285;20,6444;20,8119;7.107;147.251
2016-11-22;20,6775;20,6775;20,625;20,6269;2.734;56.459
2016-11-21;20,586;20,6756;20,4526;20,6658;1.967;40.404
2016-11-18;20,5432;20,5636;20,4896;20,549;3.512;72.121
2016-11-17;20,3211;20,4497;20,2218;20,4497;1.906;38.710
2016-11-16;20,2773;20,2968;20,2452;20,2968;1.089;22.066
2016-11-15;20,1059;20,1497;20,0115;20,1381;1.284;25.738
2016-11-14;20,0251;20,1575;20,0251;20,0611;968;19.444
2016-11-11;19,9053;19,9053;19,7622;19,8664;1.565;31.038
2016-11-10;19,7904;19,9628;19,731;19,8858;4.645;92.324
