Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2016-09-09;32,1047;32,1047;32,1047;32,1047;;
2016-09-08;32,4674;32,4674;32,4674;32,4674;;
2016-09-07;32,5697;32,5697;32,5697;32,5697;;
2016-09-06;32,4767;32,4767;32,4767;32,4767;;
2016-09-05;32,579;32,579;32,579;32,579;;
2016-09-02;32,5697;32,5697;32,5697;32,5697;;
2016-09-01;31,928;31,928;31,928;31,928;;
2016-08-31;31,9122;31,9122;31,9122;31,9122;;
2016-08-30;32,0328;32,0328;32,0328;32,0328;;
2016-08-29;31,8844;31,8844;31,8844;31,8844;;
2016-08-26;31,9307;31,9307;31,9307;31,9307;;
2016-08-25;31,7731;31,7731;31,7731;31,7731;;
2016-08-24;32,042;32,042;32,042;32,042;;
2016-08-23;31,9215;31,9215;31,9215;31,9215;;
2016-08-22;31,6247;31,6247;31,6247;31,6247;;
2016-08-19;31,5969;31,5969;31,5969;31,5969;;
2016-08-18;31,8473;31,8473;31,8473;31,8473;;
2016-08-17;31,6247;31,6247;31,6247;31,6247;;
2016-08-16;31,8751;31,8751;31,8751;31,8751;;
2016-08-15;32,1348;32,1348;32,1348;32,1348;;
2016-08-12;32,1348;32,1348;32,1348;32,1348;;
2016-08-11;32,1904;32,1904;32,1904;32,1904;;
2016-08-10;31,9029;31,9029;31,9029;31,9029;;
2016-08-09;31,9586;31,9586;31,9586;31,9586;;
2016-08-08;31,6803;31,6803;31,6803;31,6803;;
2016-08-05;31,6618;31,6618;31,6618;31,6618;;
2016-08-04;31,3279;31,3279;31,3279;31,3279;;
2016-08-03;31,1053;31,1053;31,1053;31,1053;;
2016-08-02;31,0868;31,0868;31,0868;31,0868;;
2016-08-01;31,5041;31,5041;31,5041;31,5041;;
2016-07-29;31,6803;31,6803;31,6803;31,6803;;
2016-07-28;31,467;31,467;31,467;31,467;;
2016-07-27;31,7545;31,7545;31,7545;31,7545;;
2016-07-26;31,6247;31,6247;31,6247;31,6247;;
2016-07-25;31,5969;31,5969;31,5969;31,5969;;
2016-07-22;31,5412;31,5412;31,5412;31,5412;;
2016-07-21;31,5598;31,5598;31,5598;31,5598;;
2016-07-20;31,5876;31,5876;31,5876;31,5876;;
2016-07-19;31,2537;31,2537;31,2537;31,2537;;
2016-07-18;31,3836;31,3836;31,3836;31,3836;;
2016-07-15;31,3186;31,3186;31,3186;31,3186;;
2016-07-14;31,365;31,365;31,365;31,365;;
2016-07-13;31,1146;31,1146;31,1146;31,1146;;
2016-07-12;31,161;31,161;31,161;31,161;;
2016-07-11;30,8271;30,8271;30,8271;30,8271;;
2016-07-08;30,3263;30,3263;30,3263;30,3263;;
2016-07-07;29,8441;29,8441;29,8441;29,8441;;
2016-07-06;29,5287;29,5287;29,5287;29,5287;;
2016-07-05;30,0295;30,0295;30,0295;30,0295;;
2016-07-04;30,5489;30,5489;30,5489;30,5489;;
2016-07-01;30,7622;30,7622;30,7622;30,7622;;
2016-06-30;30,5582;30,5582;30,5582;30,5582;;
2016-06-29;30,2336;30,2336;30,2336;30,2336;;
2016-06-28;29,3247;29,3247;29,3247;29,3247;;
2016-06-27;28,5828;28,5828;28,5828;28,5828;;
2016-06-24;29,8162;29,8162;29,8162;29,8162;;
2016-06-23;32,0699;32,0699;32,0699;32,0699;;
2016-06-22;31,6061;31,6061;31,6061;31,6061;;
2016-06-21;31,4856;31,4856;31,4856;31,4856;;
2016-06-20;31,2537;31,2537;31,2537;31,2537;;
2016-06-17;30,1501;30,1501;30,1501;30,1501;;
2016-06-16;29,7328;29,7328;29,7328;29,7328;;
2016-06-15;29,9368;29,9368;29,9368;29,9368;;
2016-06-14;29,6542;29,6542;29,6542;29,6542;;
2016-06-13;30,2304;30,2304;30,2304;30,2304;;
2016-06-10;30,7975;30,7975;30,7975;30,7975;;
2016-06-09;31,5659;31,5659;31,5659;31,5659;;
2016-06-08;31,8586;31,8586;31,8586;31,8586;;
2016-06-07;32,0141;32,0141;32,0141;32,0141;;
2016-06-06;31,6573;31,6573;31,6573;31,6573;;
2016-06-03;31,5384;31,5384;31,5384;31,5384;;
2016-06-02;31,822;31,822;31,822;31,822;;
2016-06-01;31,7762;31,7762;31,7762;31,7762;;
2016-05-31;32,0872;32,0872;32,0872;32,0872;;
2016-05-30;32,3342;32,3342;32,3342;32,3342;;
2016-05-27;32,2793;32,2793;32,2793;32,2793;;
2016-05-26;32,2061;32,2061;32,2061;32,2061;;
2016-05-25;32,1604;32,1604;32,1604;32,1604;;
2016-05-24;31,7488;31,7488;31,7488;31,7488;;
2016-05-23;31,0628;31,0628;31,0628;31,0628;;
2016-05-20;31,1543;31,1543;31,1543;31,1543;;
2016-05-19;30,7701;30,7701;30,7701;30,7701;;
2016-05-18;31,0902;31,0902;31,0902;31,0902;;
2016-05-17;30,825;30,825;30,825;30,825;;
2016-05-13;30,7884;30,7884;30,7884;30,7884;;
2016-05-12;30,6329;30,6329;30,6329;30,6329;;
2016-05-11;30,7518;30,7518;30,7518;30,7518;;
2016-05-10;30,889;30,889;30,889;30,889;;
2016-05-09;30,5872;30,5872;30,5872;30,5872;;
2016-05-06;30,4499;30,4499;30,4499;30,4499;;
2016-05-05;30,5414;30,5414;30,5414;30,5414;;
2016-05-04;30,4042;30,4042;30,4042;30,4042;;
2016-05-03;30,7426;30,7426;30,7426;30,7426;;
2016-05-02;31,2549;31,2549;31,2549;31,2549;;
2016-04-29;31,2549;31,2549;31,2549;31,2549;;
2016-04-28;31,9226;31,9226;31,9226;31,9226;;
2016-04-27;31,8403;31,8403;31,8403;31,8403;;
2016-04-26;31,7397;31,7397;31,7397;31,7397;;
2016-04-25;31,6573;31,6573;31,6573;31,6573;;
2016-04-22;31,822;31,822;31,822;31,822;;
2016-04-21;31,9134;31,9134;31,9134;31,9134;;
2016-04-20;32,0141;32,0141;32,0141;32,0141;;
2016-04-19;31,8677;31,8677;31,8677;31,8677;;
2016-04-18;31,4012;31,4012;31,4012;31,4012;;
2016-04-15;31,2732;31,2732;31,2732;31,2732;;
2016-04-14;31,3738;31,3738;31,3738;31,3738;;
2016-04-13;31,2823;31,2823;31,2823;31,2823;;
2016-04-12;30,5048;30,5048;30,5048;30,5048;;
2016-04-11;30,3402;30,3402;30,3402;30,3402;;
2016-04-08;30,2396;30,2396;30,2396;30,2396;;
2016-04-07;29,8828;29,8828;29,8828;29,8828;;
2016-04-06;30,0841;30,0841;30,0841;30,0841;;
2016-04-05;29,8463;29,8463;29,8463;29,8463;;
2016-04-04;30,4225;30,4225;30,4225;30,4225;;
2016-04-01;30,3036;30,3036;30,3036;30,3036;;
2016-03-31;30,6878;30,6878;30,6878;30,6878;;
2016-03-30;31,0171;31,0171;31,0171;31,0171;;
2016-03-29;30,6146;30,6146;30,6146;30,6146;;
2016-03-24;30,4591;30,4591;30,4591;30,4591;;
2016-03-23;30,9073;30,9073;30,9073;30,9073;;
2016-03-22;30,9256;30,9256;30,9256;30,9256;;
2016-03-21;30,9713;30,9713;30,9713;30,9713;;
2016-03-18;31,0353;31,0353;31,0353;31,0353;;
2016-03-17;30,9347;30,9347;30,9347;30,9347;;
2016-03-16;30,9439;30,9439;30,9439;30,9439;;
2016-03-15;30,9347;30,9347;30,9347;30,9347;;
2016-03-14;31,2693;31,2693;31,2693;31,2693;;
2016-03-11;31,0596;31,0596;31,0596;31,0596;;
2016-03-10;30,2574;30,2574;30,2574;30,2574;;
2016-03-09;30,7679;30,7679;30,7679;30,7679;;
2016-03-08;30,6129;30,6129;30,6129;30,6129;;
2016-03-07;30,932;30,932;30,932;30,932;;
2016-03-04;31,014;31,014;31,014;31,014;;
2016-03-03;30,7953;30,7953;30,7953;30,7953;;
2016-03-02;30,8955;30,8955;30,8955;30,8955;;
2016-03-01;30,695;30,695;30,695;30,695;;
2016-02-29;30,2483;30,2483;30,2483;30,2483;;
2016-02-26;30,0386;30,0386;30,0386;30,0386;;
2016-02-25;29,5828;29,5828;29,5828;29,5828;;
